Местное время в Никеле,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss,grad
18.9,744.7,752.6,,73.0,"Ветер, дующий с востока",6,10.0,,70 – 80%.,Состояние неба в общем не изменилось. ,Гроза (грозы) с осадками или без них.,Ливень (ливни).,,20.5,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",60%.,600-1000,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,13.9,11.0,12.0,,,,,,90
17.8,746.5,754.4,,73.0,"Ветер, дующий с северо-запада",2,4.0,,100%.,"Гроза слабая или умеренная без града, но с дождем и/или снегом в срок наблюдения. ",Гроза (грозы) с осадками или без них.,Ливень (ливни).,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,20.0,12.8,,,,,,,,298
13.7,746.7,754.7,,88.0,"Штиль, безветрие",0,,,"90  или более, но не 100%", ,,,11.0,,"Слоисто-кучевые, образовавшиеся не из кучевых.",60%.,600-1000,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",20.0,11.8,4.0,12.0,Поверхность почвы влажная.,10.0,,,,0
12.7,747.3,755.3,,94.0,"Штиль, безветрие",0,,,"90  или более, но не 100%","Клочья приземного или ледяного тумана на станции, на море или на суше, высотой не более 2 м над сушей или не более 10 м над морем. ",Ливень (ливни).,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,11.8,,,,,,,,0
19.8,746.8,754.6,,66.0,"Ветер, дующий с западо-юго-запада",2,2.0,,70 – 80%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,,26.2,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",70 – 80%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,13.3,Следы осадков,12.0,,,,,,248
25.0,746.8,754.5,,40.0,"Ветер, дующий с запада",2,2.0,,40%., ,,,,,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.",40%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,10.3,,,,,,,,270
18.4,747.3,755.2,,63.0,"Ветер, дующий с западо-северо-запада",2,2.0,,Облаков нет., ,,,13.5,,,,,,,50.0,11.1,Осадков нет,12.0,"Cухая (без трещин, заметного количества пыли или сыпучего песка)",10.0,,,,292
15.5,747.3,755.2,,83.0,"Ветер, дующий с востоко-северо-востока",2,2.0,,"10%  или менее, но не 0", ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","10%  или менее, но не 0","2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,12.6,,,,,,,,68
19.2,746.8,754.7,,65.0,"Ветер, дующий с востока",2,2.0,,60%., ,,,,23.9,"Слоисто-кучевые, образовавшиеся не из кучевых.",50%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",50.0,12.4,Осадков нет,12.0,,,,,,90
22.3,747.2,755.0,,47.0,"Ветер, дующий с западо-северо-запада",2,2.0,,50%., ,,,,,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.",20–30%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",50.0,10.5,,,,,,,,292
11.0,748.7,756.9,,88.0,"Штиль, безветрие",0,,,"90  или более, но не 100%",Туман или ледяной туман. ,Туман или ледяной туман или сильная мгла.,Облака покрывали более половины неба в течение всего соответствующего периода.,8.5,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",4.0,9.0,Осадков нет,12.0,"Cухая (без трещин, заметного количества пыли или сыпучего песка)",8.0,,,,0
9.6,750.1,758.3,,95.0,"Штиль, безветрие",0,,,70 – 80%.,"Более или менее сплошной слой приземного или ледяного тумана на станции, на море или на суше, высотой не более 2 м над сушей или не более 10 м над морем. ",Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.",4.0,8.8,,,,,,,,0
19.3,750.1,758.1,,48.0,"Ветер, дующий с северо-востока",4,8.0,,"90  или более, но не 100%", ,,,,23.1,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.",50.0,8.1,Осадков нет,12.0,,,,,,45
22.0,751.3,759.1,,31.0,"Ветер, дующий с востоко-северо-востока",2,,,40%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.",50.0,3.9,,,,,,,,68
13.6,752.8,760.9,,82.0,"Ветер, дующий с востоко-северо-востока",2,2.0,,Облаков нет., ,,,10.2,,,,,,,50.0,10.5,Осадков нет,12.0,"Cухая (без трещин, заметного количества пыли или сыпучего песка)",9.0,,,,68
12.6,753.4,761.5,,77.0,"Штиль, безветрие",0,,,"10%  или менее, но не 0", ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",50.0,8.6,,,,,,,,0
21.3,753.2,761.2,,34.0,"Ветер, дующий с востоко-северо-востока",2,2.0,,"10%  или менее, но не 0", ,,,,23.2,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",50.0,4.6,Осадков нет,12.0,,,,,,68
21.0,754.6,762.5,,31.0,"Ветер, дующий с северо-востока",2,4.0,,60%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.",50.0,3.1,,,,,,,,45
13.3,756.3,764.5,,69.0,"Штиль, безветрие",0,,,70 – 80%., ,,,8.0,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",70 – 80%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,7.6,Осадков нет,12.0,"Cухая (без трещин, заметного количества пыли или сыпучего песка)",7.0,,,,0
9.2,757.6,765.9,,87.0,"Штиль, безветрие",0,,,20–30%.,"Клочья приземного или ледяного тумана на станции, на море или на суше, высотой не более 2 м над сушей или не более 10 м над морем. ",Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,7.1,,,,,,,,0
17.2,757.6,765.7,,50.0,"Ветер, дующий с северо-востока",2,4.0,,Облаков нет., ,,,,19.7,,,,,,50.0,6.5,Осадков нет,12.0,,,,,,45
17.2,758.6,766.7,,48.0,"Ветер, дующий с востоко-северо-востока",2,6.0,,"10%  или менее, но не 0", ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",50.0,6.0,,,,,,,,68
8.7,759.7,768.0,,88.0,"Ветер, дующий с востоко-северо-востока",2,,,"90  или более, но не 100%", ,,,7.1,,"Слоисто-кучевые, образовавшиеся не из кучевых.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",20.0,6.8,Осадков нет,12.0,"Cухая (без трещин, заметного количества пыли или сыпучего песка)",6.0,,,,68
7.8,760.1,768.5,,92.0,"Ветер, дующий с востоко-северо-востока",2,6.0,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,1000-1500,,,20.0,6.5,,,,,,,,68
12.8,760.6,768.9,,72.0,"Ветер, дующий с северо-востока",2,6.0,,20–30%., ,,,,14.9,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.",20.0,7.9,Осадков нет,12.0,,,,,,45
14.0,761.3,769.5,,74.0,"Ветер, дующий с востоко-северо-востока",2,,,70 – 80%., ,,,,,"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.",70 – 80%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,9.3,,,,,,,,68
9.4,762.1,770.4,,88.0,"Ветер, дующий с северо-востока",2,4.0,,100%.,Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,8.5,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,20.0,7.5,Следы осадков,12.0,Поверхность почвы влажная.,8.0,,,,45
9.5,762.4,770.7,,89.0,"Ветер, дующий с северо-востока",2,6.0,,100%., ,,,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,50.0,7.8,,,,,,,,45
12.0,762.1,770.3,,81.0,"Ветер, дующий с северо-востока",2,2.0,,100%., ,,,,13.5,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,50.0,8.8,Осадков нет,12.0,,,,,,45
12.9,761.2,769.4,,71.0,"Ветер, дующий с востоко-северо-востока",2,,,"90  или более, но не 100%", ,,,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,7.8,,,,,,,,68
10.0,760.3,768.5,,80.0,"Ветер, дующий с северо-востока",2,4.0,,100%.,Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,8.5,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,50.0,6.6,Следы осадков,12.0,Поверхность почвы влажная.,7.0,,,,45
9.0,759.1,767.5,,84.0,"Штиль, безветрие",0,,,"90  или более, но не 100%", ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.","90  или более, но не 100%",1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,6.4,,,,,,,,0
10.3,758.0,766.3,,71.0,"Ветер, дующий с северо-северо-востока",2,,,"90  или более, но не 100%", ,,,,11.2,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,5.3,0.4,12.0,,,,,,22
9.9,758.2,766.6,,81.0,"Ветер, дующий с северо-запада",2,4.0,,100%.,Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,50.0,6.7,,,,,,,,298
8.6,757.3,765.7,,88.0,"Ветер, дующий с севера",2,2.0,,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,7.6,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,20.0,6.7,Следы осадков,12.0,Поверхность почвы влажная.,6.0,,,,360
8.7,755.8,764.1,,80.0,"Ветер, дующий с севера",2,4.0,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,50.0,5.4,,,,,,,,360
10.8,755.0,763.2,,71.0,"Ветер, дующий с севера",2,2.0,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,50.0,5.6,Следы осадков,12.0,,,,,,360
11.2,754.2,762.4,,76.0,"Ветер, дующий с северо-северо-запада",4,8.0,,100%.,Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,50.0,7.0,,,,,,,,318
10.6,753.3,761.5,,85.0,"Ветер, дующий с севера",2,4.0,,100%.,Ливневый(ые) дождь(и). ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,8.6,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,50.0,8.1,1.0,12.0,Поверхность почвы влажная.,7.0,,,,360
9.2,752.5,760.7,,94.0,"Штиль, безветрие",0,,,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,20.0,8.2,,,,,,,,0
9.9,751.6,759.8,,92.0,"Ветер, дующий с северо-востока",2,4.0,,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,13.9,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,20.0,8.7,Следы осадков,12.0,,,,,,45
12.2,749.7,757.8,,77.0,"Ветер, дующий с востока",12,16.0,,"90  или более, но не 100%", ,,,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,8.2,,,,,,,,90
12.8,747.4,755.4,,84.0,"Ветер, дующий с востока",10,14.0,,"90  или более, но не 100%", ,,,12.0,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,10.1,0.1,12.0,Поверхность почвы влажная.,12.0,,,,90
14.2,745.4,753.4,,91.0,"Ветер, дующий с юго-запада",2,2.0,,100%.,Ливневый(ые) дождь(и). ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,300-600,,,50.0,12.7,,,,,,,,225
19.0,743.2,751.0,,59.0,"Ветер, дующий с юго-востока",4,6.0,,"90  или более, но не 100%",Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,20.9,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,10.7,Следы осадков,12.0,,,,,,135
19.3,748.9,749.2,,62.0,"Ветер, дующий с юго-юго-востока",6,,,70 – 80%.,Ливневый(ые) дождь(и). ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",70 – 80%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",20.0,11.7,,,,,,,,112
17.8,740.6,748.5,,75.0,"Ветер, дующий с востоко-юго-востока",4,8.0,,"90  или более, но не 100%", ,,,13.4,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,13.2,10.0,12.0,Поверхность почвы влажная.,13.0,,,,112
14.8,741.3,749.2,,83.0,"Ветер, дующий с востока",6,10.0,,100%.,Ливневый(ые) дождь(и). ,Гроза (грозы) с осадками или без них.,Ливень (ливни).,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.",,20.0,12.0,,,,,,,,90
17.3,744.8,752.8,,62.0,"Ветер, дующий с юго-востока",6,10.0,,"90  или более, но не 100%",Ливневый(ые) дождь(и). ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,23.8,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",70 – 80%.,600-1000,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,9.9,Следы осадков,12.0,,,,,,135
22.8,746.4,754.2,,32.0,"Ветер, дующий с юго-юго-востока",6,10.0,,"90  или более, но не 100%", ,,,,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.",50%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.",50.0,5.0,,,,,,,,112
19.6,748.3,756.2,,45.0,"Ветер, дующий с юго-востока",4,4.0,,Облаков нет., ,,,15.6,,,,,,,50.0,7.3,Осадков нет,12.0,"Cухая (без трещин, заметного количества пыли или сыпучего песка)",9.0,,,,135
16.0,749.1,757.1,,54.0,"Ветер, дующий с юго-юго-востока",6,10.0,,70 – 80%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",50.0,6.7,,,,,,,,112
20.2,749.2,757.0,,42.0,"Ветер, дующий с юга",2,4.0,,"90  или более, но не 100%", ,,,,21.8,"Слоисто-кучевые, образовавшиеся не из кучевых.",50%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.",50.0,6.8,Осадков нет,12.0,,,,,,180
20.0,750.0,757.9,,36.0,"Ветер, дующий с юго-запада",4,6.0,,20–30%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.","10%  или менее, но не 0",1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",50.0,4.6,,,,,,,,225
15.8,750.4,758.4,,55.0,"Ветер, дующий с юго-запада",2,4.0,,Облаков нет., ,,,12.9,,,,,,,50.0,6.6,4.0,12.0,Поверхность почвы влажная.,9.0,,,,225
